match_number,stage,group,date,local_time,home,away,venue
1,Group A,A,2026-06-11,1:00 p.m. UTC−6,Mexico,South Africa,"Estadio Azteca, Mexico City"
2,Group A,A,2026-06-11,8:00 p.m. UTC−6,South Korea,Czech Republic,"Estadio Akron, Zapopan"
3,Group B,B,2026-06-12,3:00 p.m. UTC−4,Canada,Bosnia and Herzegovina,"BMO Field, Toronto"
4,Group D,D,2026-06-12,6:00 p.m. UTC−7,United States,Paraguay,"SoFi Stadium, Inglewood"
5,Group C,C,2026-06-13,9:00 p.m. UTC−4,Haiti,Scotland,"Gillette Stadium, Foxborough"
6,Group D,D,2026-06-13,9:00 p.m. UTC−7,Australia,Turkey,"BC Place, Vancouver"
7,Group C,C,2026-06-13,6:00 p.m. UTC−4,Brazil,Morocco,"MetLife Stadium, East Rutherford"
8,Group B,B,2026-06-13,12:00 p.m. UTC−7,Qatar,Switzerland,"Levi's Stadium, Santa Clara"
9,Group E,E,2026-06-14,7:00 p.m. UTC−4,Ivory Coast,Ecuador,"Lincoln Financial Field, Philadelphia"
10,Group E,E,2026-06-14,12:00 p.m. UTC−5,Germany,Curaçao,"NRG Stadium, Houston"
11,Group F,F,2026-06-14,3:00 p.m. UTC−5,Netherlands,Japan,"AT&T Stadium, Arlington"
12,Group F,F,2026-06-14,8:00 p.m. UTC−6,Sweden,Tunisia,"Estadio BBVA, Guadalupe"
13,Group H,H,2026-06-15,6:00 p.m. UTC−4,Saudi Arabia,Uruguay,"Hard Rock Stadium, Miami Gardens"
14,Group H,H,2026-06-15,12:00 p.m. UTC−4,Spain,Cape Verde,"Mercedes-Benz Stadium, Atlanta"
15,Group G,G,2026-06-15,6:00 p.m. UTC−7,Iran,New Zealand,"SoFi Stadium, Inglewood"
16,Group G,G,2026-06-15,12:00 p.m. UTC−7,Belgium,Egypt,"Lumen Field, Seattle"
17,Group I,I,2026-06-16,3:00 p.m. UTC−4,France,Senegal,"MetLife Stadium, East Rutherford"
18,Group I,I,2026-06-16,6:00 p.m. UTC−4,Iraq,Norway,"Gillette Stadium, Foxborough"
19,Group J,J,2026-06-16,8:00 p.m. UTC−5,Argentina,Algeria,"Arrowhead Stadium, Kansas City"
20,Group J,J,2026-06-16,9:00 p.m. UTC−7,Austria,Jordan,"Levi's Stadium, Santa Clara"
21,Group L,L,2026-06-17,7:00 p.m. UTC−4,Ghana,Panama,"Toronto Stadium, Toronto"
22,Group L,L,2026-06-17,3:00 p.m. UTC−5,England,Croatia,"AT&T Stadium, Arlington"
23,Group K,K,2026-06-17,12:00 p.m. UTC−5,Portugal,DR Congo,"NRG Stadium, Houston"
24,Group K,K,2026-06-17,8:00 p.m. UTC−6,Uzbekistan,Colombia,"Estadio Azteca, Mexico City"
25,Group A,A,2026-06-18,12:00 p.m. UTC−4,Czech Republic,South Africa,"Mercedes-Benz Stadium, Atlanta"
26,Group B,B,2026-06-18,12:00 p.m. UTC−7,Switzerland,Bosnia and Herzegovina,"SoFi Stadium, Inglewood"
27,Group B,B,2026-06-18,3:00 p.m. UTC−7,Canada,Qatar,"BC Place, Vancouver"
28,Group A,A,2026-06-18,7:00 p.m. UTC−6,Mexico,South Korea,"Estadio Akron, Zapopan"
29,Group C,C,2026-06-19,8:30 p.m. UTC−4,Brazil,Haiti,"Lincoln Financial Field, Philadelphia"
30,Group C,C,2026-06-19,6:00 p.m. UTC−4,Scotland,Morocco,"Gillette Stadium, Foxborough"
31,Group D,D,2026-06-19,8:00 p.m. UTC−7,Turkey,Paraguay,"Levi's Stadium, Santa Clara"
32,Group D,D,2026-06-19,12:00 p.m. UTC−7,United States,Australia,"Lumen Field, Seattle"
33,Group E,E,2026-06-20,4:00 p.m. UTC−4,Germany,Ivory Coast,"BMO Field, Toronto"
34,Group E,E,2026-06-20,7:00 p.m. UTC−5,Ecuador,Curaçao,"Arrowhead Stadium, Kansas City"
35,Group F,F,2026-06-20,12:00 p.m. UTC−5,Netherlands,Sweden,"NRG Stadium, Houston"
36,Group F,F,2026-06-20,10:00 p.m. UTC−6,Tunisia,Japan,"Estadio BBVA, Guadalupe"
37,Group H,H,2026-06-21,6:00 p.m. UTC−4,Uruguay,Cape Verde,"Hard Rock Stadium, Miami Gardens"
38,Group H,H,2026-06-21,12:00 p.m. UTC−4,Spain,Saudi Arabia,"Mercedes-Benz Stadium, Atlanta"
39,Group G,G,2026-06-21,12:00 p.m. UTC−7,Belgium,Iran,"SoFi Stadium, Inglewood"
40,Group G,G,2026-06-21,6:00 p.m. UTC−7,New Zealand,Egypt,"BC Place, Vancouver"
41,Group I,I,2026-06-22,8:00 p.m. UTC−4,Norway,Senegal,"MetLife Stadium, East Rutherford"
42,Group I,I,2026-06-22,5:00 p.m. UTC−4,France,Iraq,"Lincoln Financial Field, Philadelphia"
43,Group J,J,2026-06-22,12:00 p.m. UTC−5,Argentina,Austria,"AT&T Stadium, Arlington"
44,Group J,J,2026-06-22,8:00 p.m. UTC−7,Jordan,Algeria,"Levi's Stadium, Santa Clara"
45,Group L,L,2026-06-23,4:00 p.m. UTC−4,England,Ghana,"Gillette Stadium, Foxborough"
46,Group L,L,2026-06-23,7:00 p.m. UTC−4,Panama,Croatia,"Toronto Stadium, Toronto"
47,Group K,K,2026-06-23,12:00 p.m. UTC−5,Portugal,Uzbekistan,"NRG Stadium, Houston"
48,Group K,K,2026-06-23,8:00 p.m. UTC−6,Colombia,DR Congo,"Estadio Akron, Zapopan"
49,Group C,C,2026-06-24,6:00 p.m. UTC−4,Scotland,Brazil,"Hard Rock Stadium, Miami Gardens"
50,Group C,C,2026-06-24,6:00 p.m. UTC−4,Morocco,Haiti,"Mercedes-Benz Stadium, Atlanta"
51,Group B,B,2026-06-24,12:00 p.m. UTC−7,Switzerland,Canada,"BC Place, Vancouver"
52,Group B,B,2026-06-24,12:00 p.m. UTC−7,Bosnia and Herzegovina,Qatar,"Lumen Field, Seattle"
53,Group A,A,2026-06-24,7:00 p.m. UTC−6,Czech Republic,Mexico,"Estadio Azteca, Mexico City"
54,Group A,A,2026-06-24,7:00 p.m. UTC−6,South Africa,South Korea,"Estadio BBVA, Guadalupe"
55,Group E,E,2026-06-25,4:00 p.m. UTC−4,Curaçao,Ivory Coast,"Lincoln Financial Field, Philadelphia"
56,Group E,E,2026-06-25,4:00 p.m. UTC−4,Ecuador,Germany,"MetLife Stadium, East Rutherford"
57,Group F,F,2026-06-25,6:00 p.m. UTC−5,Japan,Sweden,"AT&T Stadium, Arlington"
58,Group F,F,2026-06-25,6:00 p.m. UTC−5,Tunisia,Netherlands,"Arrowhead Stadium, Kansas City"
59,Group D,D,2026-06-25,7:00 p.m. UTC−7,Turkey,United States,"SoFi Stadium, Inglewood"
60,Group D,D,2026-06-25,7:00 p.m. UTC−7,Paraguay,Australia,"Levi's Stadium, Santa Clara"
