match_number,date,stage,team_a,team_b,score,winner,decided_by,team_a_win_probability,log_probability,venue
1,2026-06-11,Group,Mexico,South Africa,1-2,South Africa,90 minutes,0.8508,-3.0602,"Estadio Azteca, Mexico City"
2,2026-06-11,Group,South Korea,Czech Republic,2-1,South Korea,90 minutes,0.8364,-2.3433,"Estadio Akron, Zapopan"
25,2026-06-18,Group,Czech Republic,South Africa,0-3,South Africa,90 minutes,0.5227,-3.3218,"Mercedes-Benz Stadium, Atlanta"
28,2026-06-18,Group,Mexico,South Korea,0-3,South Korea,90 minutes,0.5045,-3.623,"Estadio Akron, Zapopan"
53,2026-06-24,Group,Czech Republic,Mexico,0-2,Mexico,90 minutes,0.1612,-2.1529,"Estadio Azteca, Mexico City"
54,2026-06-24,Group,South Africa,South Korea,1-2,South Korea,90 minutes,0.1516,-2.3416,"Estadio BBVA, Guadalupe"
3,2026-06-12,Group,Canada,Bosnia and Herzegovina,1-1,Draw,90 minutes,0.7334,-2.2959,"BMO Field, Toronto"
8,2026-06-13,Group,Qatar,Switzerland,0-1,Switzerland,90 minutes,0.43,-1.9636,"Levi's Stadium, Santa Clara"
26,2026-06-18,Group,Switzerland,Bosnia and Herzegovina,0-0,Draw,90 minutes,0.8623,-2.8702,"SoFi Stadium, Inglewood"
27,2026-06-18,Group,Canada,Qatar,1-0,Canada,90 minutes,0.368,-2.3007,"BC Place, Vancouver"
51,2026-06-24,Group,Switzerland,Canada,1-3,Canada,90 minutes,0.6948,-3.5948,"BC Place, Vancouver"
52,2026-06-24,Group,Bosnia and Herzegovina,Qatar,0-2,Qatar,90 minutes,0.1747,-2.3079,"Lumen Field, Seattle"
5,2026-06-13,Group,Haiti,Scotland,1-2,Scotland,90 minutes,0.6212,-2.7687,"Gillette Stadium, Foxborough"
7,2026-06-13,Group,Brazil,Morocco,1-1,Draw,90 minutes,0.6983,-2.3975,"MetLife Stadium, East Rutherford"
29,2026-06-19,Group,Brazil,Haiti,5-1,Brazil,90 minutes,0.7861,-4.0551,"Lincoln Financial Field, Philadelphia"
30,2026-06-19,Group,Scotland,Morocco,0-1,Morocco,90 minutes,0.2775,-2.1995,"Gillette Stadium, Foxborough"
49,2026-06-24,Group,Scotland,Brazil,0-5,Brazil,90 minutes,0.1423,-3.1314,"Hard Rock Stadium, Miami Gardens"
50,2026-06-24,Group,Morocco,Haiti,1-0,Morocco,90 minutes,0.6135,-2.1221,"Mercedes-Benz Stadium, Atlanta"
4,2026-06-12,Group,United States,Paraguay,1-1,Draw,90 minutes,0.4119,-2.1066,"SoFi Stadium, Inglewood"
6,2026-06-13,Group,Australia,Turkey,0-0,Draw,90 minutes,0.3918,-2.0843,"BC Place, Vancouver"
31,2026-06-19,Group,Turkey,Paraguay,1-1,Draw,90 minutes,0.5093,-2.0574,"Levi's Stadium, Santa Clara"
32,2026-06-19,Group,United States,Australia,2-1,United States,90 minutes,0.5116,-2.595,"Lumen Field, Seattle"
59,2026-06-25,Group,Turkey,United States,1-0,Turkey,90 minutes,0.5971,-2.2439,"SoFi Stadium, Inglewood"
60,2026-06-25,Group,Paraguay,Australia,1-0,Paraguay,90 minutes,0.5993,-2.423,"Levi's Stadium, Santa Clara"
9,2026-06-14,Group,Ivory Coast,Ecuador,0-2,Ecuador,90 minutes,0.4618,-2.2241,"Lincoln Financial Field, Philadelphia"
10,2026-06-14,Group,Germany,Curaçao,1-0,Germany,90 minutes,0.7688,-2.1625,"NRG Stadium, Houston"
33,2026-06-20,Group,Germany,Ivory Coast,1-0,Germany,90 minutes,0.8469,-2.1521,"BMO Field, Toronto"
34,2026-06-20,Group,Ecuador,Curaçao,4-2,Ecuador,90 minutes,0.4119,-5.4937,"Arrowhead Stadium, Kansas City"
55,2026-06-25,Group,Curaçao,Ivory Coast,4-1,Curaçao,90 minutes,0.6246,-4.1936,"Lincoln Financial Field, Philadelphia"
56,2026-06-25,Group,Ecuador,Germany,1-0,Ecuador,90 minutes,0.174,-2.8002,"MetLife Stadium, East Rutherford"
11,2026-06-14,Group,Netherlands,Japan,2-0,Netherlands,90 minutes,0.7535,-2.2267,"AT&T Stadium, Arlington"
12,2026-06-14,Group,Sweden,Tunisia,1-0,Sweden,90 minutes,0.8346,-2.1963,"Estadio BBVA, Guadalupe"
35,2026-06-20,Group,Netherlands,Sweden,1-2,Sweden,90 minutes,0.525,-2.7909,"NRG Stadium, Houston"
36,2026-06-20,Group,Tunisia,Japan,1-1,Draw,90 minutes,0.354,-2.1323,"Estadio BBVA, Guadalupe"
