match_number,date,stage,team_a,team_b,score,winner,decided_by,team_a_win_probability,log_probability,venue
73,2026-06-28,Round of 32,South Africa,Switzerland,0-1,Switzerland,90 minutes,0.1485,-2.0069,"SoFi Stadium, Inglewood"
74,2026-06-29,Round of 32,Ecuador,United States,1-0,Ecuador,90 minutes,0.3007,-2.2522,"Gillette Stadium, Foxborough"
75,2026-06-29,Round of 32,Sweden,Morocco,0-1,Morocco,90 minutes,0.6596,-2.5381,"Estadio BBVA, Guadalupe"
76,2026-06-29,Round of 32,Brazil,Netherlands,0-0,Netherlands,extra time/penalties,0.5194,-3.3794,"NRG Stadium, Houston"
77,2026-06-30,Round of 32,Senegal,Iran,2-1,Senegal,90 minutes,0.5337,-2.3716,"MetLife Stadium, East Rutherford"
78,2026-06-30,Round of 32,Germany,France,0-1,France,90 minutes,0.4695,-2.3871,"AT&T Stadium, Arlington"
79,2026-06-30,Round of 32,South Korea,Curaçao,0-1,Curaçao,90 minutes,0.7463,-2.4277,"Estadio Azteca, Mexico City"
80,2026-07-01,Round of 32,England,DR Congo,2-1,England,90 minutes,0.7796,-2.3554,"Mercedes-Benz Stadium, Atlanta"
81,2026-07-01,Round of 32,Paraguay,Qatar,0-0,Qatar,extra time/penalties,0.5057,-2.7844,"Levi's Stadium, Santa Clara"
82,2026-07-01,Round of 32,Belgium,Norway,2-2,Belgium,extra time/penalties,0.8443,-3.6355,"Lumen Field, Seattle"
83,2026-07-02,Round of 32,Colombia,Croatia,1-0,Colombia,90 minutes,0.5349,-2.3034,"BMO Field, Toronto"
84,2026-07-02,Round of 32,Uruguay,Algeria,1-2,Algeria,90 minutes,0.8464,-3.1624,"SoFi Stadium, Inglewood"
85,2026-07-02,Round of 32,Canada,Ghana,2-2,Canada,extra time/penalties,0.6794,-3.272,"BC Place, Vancouver"
86,2026-07-03,Round of 32,Argentina,Spain,2-1,Argentina,90 minutes,0.5015,-2.4422,"Hard Rock Stadium, Miami Gardens"
87,2026-07-03,Round of 32,Portugal,Mexico,2-2,Mexico,extra time/penalties,0.5228,-3.8375,"Arrowhead Stadium, Kansas City"
88,2026-07-03,Round of 32,Turkey,New Zealand,3-1,Turkey,90 minutes,0.7962,-3.3425,"AT&T Stadium, Arlington"
89,2026-07-04,Round of 16,Ecuador,Senegal,0-0,Senegal,extra time/penalties,0.5035,-2.9022,"Lincoln Financial Field, Philadelphia"
90,2026-07-04,Round of 16,Switzerland,Morocco,0-1,Morocco,90 minutes,0.6564,-2.3344,"NRG Stadium, Houston"
91,2026-07-05,Round of 16,Netherlands,France,0-2,France,90 minutes,0.4734,-2.752,"MetLife Stadium, East Rutherford"
92,2026-07-05,Round of 16,Curaçao,England,0-1,England,90 minutes,0.3483,-1.9357,"Estadio Azteca, Mexico City"
93,2026-07-06,Round of 16,Colombia,Algeria,0-1,Algeria,90 minutes,0.8357,-2.6367,"AT&T Stadium, Arlington"
94,2026-07-06,Round of 16,Qatar,Belgium,0-0,Qatar,extra time/penalties,0.4044,-3.0638,"Lumen Field, Seattle"
95,2026-07-07,Round of 16,Argentina,Turkey,1-0,Argentina,90 minutes,0.6056,-1.8924,"Mercedes-Benz Stadium, Atlanta"
96,2026-07-07,Round of 16,Canada,Mexico,1-2,Mexico,90 minutes,0.3065,-2.3211,"BC Place, Vancouver"
97,2026-07-09,Quarterfinals,Senegal,Morocco,1-1,Senegal,extra time/penalties,0.3045,-3.2303,"Gillette Stadium, Foxborough"
98,2026-07-10,Quarterfinals,Algeria,Qatar,2-0,Algeria,90 minutes,0.206,-2.8698,"SoFi Stadium, Inglewood"
99,2026-07-11,Quarterfinals,France,England,1-1,France,extra time/penalties,0.6676,-2.503,"Hard Rock Stadium, Miami Gardens"
100,2026-07-11,Quarterfinals,Argentina,Mexico,2-1,Argentina,90 minutes,0.5531,-2.3555,"Arrowhead Stadium, Kansas City"
101,2026-07-14,Semifinals,Senegal,Algeria,0-1,Algeria,90 minutes,0.5393,-2.2656,"AT&T Stadium, Arlington"
102,2026-07-15,Semifinals,France,Argentina,1-0,France,90 minutes,0.5033,-2.4288,"Mercedes-Benz Stadium, Atlanta"
103,2026-07-18,Match for third place,Senegal,Argentina,1-2,Argentina,90 minutes,0.157,-2.356,"Hard Rock Stadium, Miami Gardens"
104,2026-07-19,Final,Algeria,France,0-3,France,90 minutes,0.1357,-2.4125,"MetLife Stadium, East Rutherford"
